log_name, dram_ratio, miss_ratio, write_byte
w92.oracleGeneral.bin, 0.001, 0.8722, 0.0003
w68.oracleGeneral.bin, 0.001, 0.3645, 0.0497
w100.oracleGeneral.bin, 0.001, 0.7551, 0.0105
w39.oracleGeneral.bin, 0.001, 0.1282, 0.0445
w78.oracleGeneral.bin, 0.001, 0.6044, 0.0109
w87.oracleGeneral.bin, 0.001, 0.8006, 0.0841
w89.oracleGeneral.bin, 0.001, 0.4277, 0.0933
w75.oracleGeneral.bin, 0.001, 0.2988, 0.0227
w13.oracleGeneral.bin, 0.001, 0.8366, 0.0091
w29.oracleGeneral.bin, 0.001, 0.8995, 0.0212
w41.oracleGeneral.bin, 0.001, 0.1310, 0.0295
w74.oracleGeneral.bin, 0.001, 0.2951, 0.0497
w50.oracleGeneral.bin, 0.001, 0.3343, 0.0476
w25.oracleGeneral.bin, 0.001, 0.2888, 0.0948
w32.oracleGeneral.bin, 0.001, 0.7830, 0.0015
w81.oracleGeneral.bin, 0.001, 0.7873, 0.0026
w23.oracleGeneral.bin, 0.001, 0.5155, 0.0402
w69.oracleGeneral.bin, 0.001, 0.5503, 0.0239
w04.oracleGeneral.bin, 0.001, 0.5143, 0.0535
w101.oracleGeneral.bin, 0.001, 0.7481, 0.0105
w20.oracleGeneral.bin, 0.001, 0.6712, 0.0530
w43.oracleGeneral.bin, 0.001, 0.7795, 0.0217
w34.oracleGeneral.bin, 0.001, 0.8505, 0.0055
w83.oracleGeneral.bin, 0.001, 0.4861, 0.0050
w106.oracleGeneral.bin, 0.001, 0.3209, 0.0187
w93.oracleGeneral.bin, 0.001, 0.8831, 0.0001
w86.oracleGeneral.bin, 0.001, 0.9427, 1.0822
w03.oracleGeneral.bin, 0.001, 0.6306, 0.0457
w56.oracleGeneral.bin, 0.001, 0.4620, 0.0435
w24.oracleGeneral.bin, 0.001, 0.7967, 0.0260
w82.oracleGeneral.bin, 0.001, 0.4851, 0.6325
w103.oracleGeneral.bin, 0.001, 0.5733, 0.0502
w55.oracleGeneral.bin, 0.001, 0.8897, 0.0002
w28.oracleGeneral.bin, 0.001, 0.8665, 0.0000
w51.oracleGeneral.bin, 0.001, 0.4928, 0.0140
w53.oracleGeneral.bin, 0.001, 0.6928, 0.0704
w54.oracleGeneral.bin, 0.001, 0.8899, 0.0003
w94.oracleGeneral.bin, 0.001, 0.9870, 0.0004
w79.oracleGeneral.bin, 0.001, 0.9862, 0.0075
w104.oracleGeneral.bin, 0.001, 0.8803, 0.6467
w01.oracleGeneral.bin, 0.001, 0.9159, 0.0004
w67.oracleGeneral.bin, 0.001, 0.2593, 0.0343
w90.oracleGeneral.bin, 0.001, 0.7799, 0.0241
w22.oracleGeneral.bin, 0.001, 0.8061, 0.1288
w85.oracleGeneral.bin, 0.001, 0.9020, 0.0003
w71.oracleGeneral.bin, 0.001, 0.2745, 0.0801
w80.oracleGeneral.bin, 0.001, 0.8268, 0.0133
w64.oracleGeneral.bin, 0.001, 0.9183, 0.0032
w05.oracleGeneral.bin, 0.001, 0.8267, 0.0575
w70.oracleGeneral.bin, 0.001, 0.4014, 0.0726
w73.oracleGeneral.bin, 0.001, 0.6173, 0.0190
w42.oracleGeneral.bin, 0.001, 0.7530, 0.0756
w27.oracleGeneral.bin, 0.001, 0.8646, 0.0286
w02.oracleGeneral.bin, 0.001, 0.4959, 3.4230
w65.oracleGeneral.bin, 0.001, 0.9859, 0.0053
w57.oracleGeneral.bin, 0.001, 0.3780, 0.0492
w21.oracleGeneral.bin, 0.001, 0.8590, 0.2794
w47.oracleGeneral.bin, 0.001, 0.1507, 0.1277
w76.oracleGeneral.bin, 0.001, 0.3959, 0.0184
w18.oracleGeneral.bin, 0.001, 0.6714, 0.2042
w52.oracleGeneral.bin, 0.001, 0.2624, 0.0309
w10.oracleGeneral.bin, 0.001, 0.6598, 0.0479
w07.oracleGeneral.bin, 0.001, 0.7334, 0.0141
w45.oracleGeneral.bin, 0.001, 0.1547, 0.1106
w99.oracleGeneral.bin, 0.001, 0.6561, 0.8587
w48.oracleGeneral.bin, 0.001, 0.9494, 0.0060
w60.oracleGeneral.bin, 0.001, 0.8165, 0.0872
w61.oracleGeneral.bin, 0.001, 0.8970, 0.0496
w15.oracleGeneral.bin, 0.001, 0.9373, 0.0100
w19.oracleGeneral.bin, 0.001, 0.4824, 0.1695
w14.oracleGeneral.bin, 0.001, 0.5612, 0.0446
w37.oracleGeneral.bin, 0.001, 0.7507, 0.0167
w06.oracleGeneral.bin, 0.001, 0.3059, 0.0152
w26.oracleGeneral.bin, 0.001, 0.5525, 0.0063
w09.oracleGeneral.bin, 0.001, 0.5957, 0.0158
w84.oracleGeneral.bin, 0.001, 0.5445, 0.0307
w17.oracleGeneral.bin, 0.001, 0.6126, 0.0290
w62.oracleGeneral.bin, 0.001, 0.9378, 0.0042
w35.oracleGeneral.bin, 0.001, 0.2698, 0.0437
w95.oracleGeneral.bin, 0.001, 0.4236, 0.1018
w11.oracleGeneral.bin, 0.001, 0.9913, 0.0113
w66.oracleGeneral.bin, 0.001, 0.3783, 0.7226
w38.oracleGeneral.bin, 0.001, 0.6615, 0.1291
w36.oracleGeneral.bin, 0.001, 0.1927, 0.0665
w105.oracleGeneral.bin, 0.001, 0.8867, 0.0008
w12.oracleGeneral.bin, 0.001, 0.0855, 0.0189
w44.oracleGeneral.bin, 0.001, 0.9161, 0.1751
w08.oracleGeneral.bin, 0.001, 0.9674, 0.0651
w98.oracleGeneral.bin, 0.001, 0.7595, 0.0107
w91.oracleGeneral.bin, 0.001, 0.7770, 0.0023
w33.oracleGeneral.bin, 0.001, 0.2213, 0.0634
w59.oracleGeneral.bin, 0.001, 0.8228, 0.1032
w30.oracleGeneral.bin, 0.001, 0.7962, 0.0475
w40.oracleGeneral.bin, 0.001, 0.1584, 0.0572
w58.oracleGeneral.bin, 0.001, 0.6359, 0.0136
