#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w98.oracleGeneral.bin.zst_3664418,349053.0,0.6532,0.6183,0.6438,0.6204,0.5974,0.6278,0.6196,0.6169,0.6272,0.6366,0.5757,0.4763,0.6327,0.5832,0.6165,0.6051,0.6014,0.6372,0.6239,0.6063,0.6239,0.5901
w68.oracleGeneral.bin.zst_8875971,163308.0,0.2058,0.1375,0.1552,0.1377,0.1551,0.1568,0.1544,0.1453,0.1626,0.1639,0.1428,0.1054,0.1617,0.1349,0.173,0.1406,0.1372,0.1673,0.1489,0.1599,0.1489,0.1353
w27.oracleGeneral.bin.zst_19501541,866015.0,0.4659,0.4435,0.4376,0.458,0.4399,0.452,0.4797,0.4385,0.4544,0.4254,0.4585,0.2738,0.4362,0.4183,0.4333,0.461,0.4539,0.4353,0.7658,0.4482,0.4838,0.4222
w101.oracleGeneral.bin.zst_3587707,350914.0,0.6558,0.614,0.6497,0.6241,0.6069,0.6296,0.6224,0.6217,0.6306,0.6411,0.5862,0.4891,0.6361,0.5892,0.6218,0.6127,0.6073,0.6418,0.6279,0.6079,0.6279,0.5914
w28.oracleGeneral.bin.zst_19739621,1188860.0,0.4023,0.3521,0.4307,0.3576,0.4,0.3658,0.3989,0.36,0.3757,0.3531,0.4256,0.3011,0.3687,0.3827,0.4105,0.3714,0.363,0.3761,0.4466,0.4071,0.3947,0.3603
w23.oracleGeneral.bin.zst_27914470,569128.0,0.4265,0.3276,0.3422,0.3249,0.3435,0.3263,0.3275,0.3199,0.3617,0.3595,0.3319,0.2129,0.3566,0.3373,0.3777,0.3167,0.3177,0.3697,0.3403,0.3853,0.3403,0.325
w54.oracleGeneral.bin.zst_8832954,1468802.0,0.853,0.8417,0.8408,0.8417,0.8401,0.8418,0.8447,0.8431,0.8409,0.8445,0.8433,0.8314,0.8437,0.8433,0.8453,0.8411,0.8407,0.8452,0.8417,0.8417,0.8417,0.8426
w13.oracleGeneral.bin.zst_39822877,1112341.0,0.2359,0.2248,0.2322,0.224,0.2251,0.2273,0.2411,0.2121,0.2291,0.2094,0.2168,0.1575,0.221,0.2252,0.2343,0.2211,0.217,0.233,0.2673,0.2302,0.2305,0.2144
w22.oracleGeneral.bin.zst_22248591,1562721.0,0.8799,0.8667,0.8654,0.8667,0.7954,0.8729,0.8742,0.7551,0.8732,0.8771,0.7146,0.6873,0.875,0.7054,0.8586,0.8682,0.8647,0.8777,0.8667,0.8165,0.8667,0.7263
w51.oracleGeneral.bin.zst_9551283,347393.0,0.2094,0.185,0.1921,0.185,0.2075,0.1972,0.2082,0.1898,0.2051,0.1998,0.1896,0.1819,0.207,0.1872,0.2196,0.1869,0.1849,0.2074,0.1851,0.2098,0.1851,0.1846
w84.oracleGeneral.bin.zst_4814234,144033.0,0.278,0.2274,0.27,0.2288,0.2409,0.2504,0.236,0.256,0.2632,0.2587,0.2148,0.1654,0.2606,0.2306,0.2656,0.2305,0.2335,0.2612,0.353,0.2518,0.2551,0.2324
w37.oracleGeneral.bin.zst_18840688,1017515.0,0.5124,0.4045,0.4131,0.3931,0.419,0.4267,0.4187,0.3829,0.4553,0.4744,0.3605,0.3122,0.4666,0.3671,0.4702,0.395,0.395,0.4885,0.4145,0.4062,0.4145,0.3753
w87.oracleGeneral.bin.zst_3788806,437672.0,0.716,0.6596,0.6563,0.6615,0.6869,0.6742,0.6952,0.659,0.6801,0.6989,0.6521,0.5776,0.6874,0.645,0.692,0.6729,0.6579,0.7057,0.6626,0.6881,0.6626,0.6476
w34.oracleGeneral.bin.zst_19553551,1028136.0,0.3859,0.3472,0.3414,0.3353,0.362,0.3495,0.3528,0.3427,0.3567,0.3463,0.393,0.2676,0.3471,0.364,0.3698,0.348,0.3328,0.3579,0.4197,0.3754,0.385,0.3354
w66.oracleGeneral.bin.zst_9169631,17339.0,0.4745,0.4294,0.4607,0.4055,0.2538,0.4072,0.3444,0.2829,0.4015,0.4423,0.2039,0.1402,0.4371,0.1973,0.2941,0.3271,0.3301,0.4636,0.4454,0.2791,0.394,0.2937
w06.oracleGeneral.bin.zst_69392150,339889.0,0.038,0.029,0.0285,0.0288,0.0312,0.0306,0.0334,0.0294,0.0377,0.0305,0.0352,0.0248,0.0306,0.0305,0.0383,0.0294,0.0291,0.0304,0.0771,0.0354,0.0294,0.0296
w91.oracleGeneral.bin.zst_4316605,116854.0,0.3763,0.3275,0.338,0.3213,0.3304,0.3316,0.3303,0.3065,0.3439,0.3613,0.2971,0.2121,0.3623,0.3034,0.3596,0.3175,0.3161,0.3637,0.3108,0.3552,0.3108,0.3176
w79.oracleGeneral.bin.zst_5411394,923164.0,0.904,0.8856,0.8853,0.8857,0.887,0.8865,0.8915,0.874,0.8861,0.8877,0.8703,0.853,0.887,0.87,0.8882,0.8865,0.8852,0.8878,0.8857,0.8825,0.8857,0.8706
w41.oracleGeneral.bin.zst_17004738,136992.0,0.0755,0.0591,0.0802,0.057,0.054,0.0637,0.0552,0.0653,0.0672,0.0612,0.0502,0.0416,0.0642,0.057,0.0698,0.0562,0.0581,0.0616,0.131,0.0625,0.0588,0.0582
w72.oracleGeneral.bin.zst_6407185,86143.0,0.2277,0.1738,0.2012,0.1729,0.1817,0.186,0.1717,0.1745,0.202,0.1924,0.1663,0.1083,0.2037,0.1655,0.2088,0.1739,0.176,0.2153,0.2665,0.1896,0.173,0.1814
w10.oracleGeneral.bin.zst_48342350,2505960.0,0.4875,0.4547,0.4776,0.455,0.475,0.4796,0.4829,0.4609,0.4818,0.4941,0.4618,0.3018,0.4929,0.4426,0.4756,0.464,0.4522,0.4993,0.5177,0.4857,0.4847,0.4517
w08.oracleGeneral.bin.zst_44464937,1808008.0,0.8363,0.7415,0.7616,0.7419,0.746,0.7969,0.7784,0.6861,0.8035,0.8211,0.6569,0.5516,0.8149,0.6532,0.7809,0.7441,0.7277,0.8224,0.7588,0.7222,0.7588,0.659
w103.oracleGeneral.bin.zst_3442094,86075.0,0.2051,0.2012,0.1952,0.1972,0.2037,0.2029,0.1994,0.1932,0.2066,0.1937,0.1939,0.1417,0.2003,0.1953,0.2079,0.196,0.1941,0.1987,0.2536,0.2031,0.1975,0.1985
w58.oracleGeneral.bin.zst_10530695,270270.0,0.2586,0.2256,0.2464,0.2245,0.2323,0.2316,0.2453,0.2245,0.2613,0.2576,0.2191,0.1567,0.261,0.2244,0.2642,0.2299,0.2173,0.2585,0.2608,0.2764,0.218,0.2226
w52.oracleGeneral.bin.zst_11451546,138967.0,0.1471,0.1016,0.1077,0.1013,0.0966,0.0965,0.1079,0.097,0.1116,0.1054,0.0871,0.0684,0.1073,0.0873,0.1253,0.0949,0.0948,0.1138,0.1046,0.1106,0.0985,0.092
w16.oracleGeneral.bin.zst_26702188,1628767.0,0.7457,0.6766,0.673,0.6823,0.6813,0.7248,0.7069,0.6486,0.7255,0.7365,0.6319,0.5348,0.7301,0.6132,0.7123,0.693,0.6592,0.7397,0.6866,0.6841,0.6866,0.6177
w40.oracleGeneral.bin.zst_17657232,176263.0,0.0974,0.087,0.0918,0.0851,0.0759,0.0862,0.0822,0.0889,0.0902,0.0835,0.075,0.0601,0.0902,0.0858,0.095,0.0819,0.0849,0.0835,0.1918,0.0887,0.0866,0.0835
w25.oracleGeneral.bin.zst_26569398,734672.0,0.2137,0.1695,0.1581,0.1641,0.1642,0.1521,0.1607,0.1932,0.1539,0.1552,0.1986,0.1383,0.1549,0.1958,0.2155,0.1627,0.1813,0.1592,0.2027,0.1903,0.187,0.1835
w38.oracleGeneral.bin.zst_18535323,402650.0,0.6447,0.5446,0.5964,0.5453,0.5596,0.619,0.6122,0.5423,0.6315,0.6329,0.5274,0.4707,0.6359,0.5229,0.6229,0.5665,0.5429,0.6391,0.5559,0.6022,0.5559,0.5232
w71.oracleGeneral.bin.zst_6840776,134666.0,0.234,0.1679,0.1787,0.1682,0.166,0.1641,0.1716,0.1656,0.1833,0.1735,0.1553,0.1233,0.1815,0.1572,0.2136,0.1544,0.1562,0.1839,0.1621,0.1858,0.157,0.1534
w20.oracleGeneral.bin.zst_29842317,2199937.0,0.6177,0.5802,0.5511,0.5947,0.5396,0.6159,0.5335,0.5397,0.6049,0.6161,0.4638,0.379,0.6215,0.4547,0.5694,0.5154,0.5311,0.6164,0.6167,0.5562,0.615,0.5149
w93.oracleGeneral.bin.zst_3351357,213799.0,0.757,0.6269,0.707,0.627,0.661,0.6906,0.6169,0.5948,0.7232,0.704,0.5215,0.452,0.7001,0.5255,0.6564,0.6197,0.6067,0.7452,0.637,0.68,0.637,0.5759
w15.oracleGeneral.bin.zst_33628757,1111752.0,0.884,0.8218,0.7381,0.811,0.8154,0.8763,0.8295,0.795,0.8819,0.8746,0.7521,0.6741,0.8774,0.7867,0.8765,0.7933,0.787,0.8753,0.8133,0.8437,0.8133,0.8038
w21.oracleGeneral.bin.zst_29416348,901470.0,0.8464,0.6471,0.8023,0.6366,0.7512,0.8496,0.7013,0.7527,0.8582,0.8234,0.7167,0.5841,0.855,0.6469,0.8341,0.6689,0.6512,0.8551,0.6919,0.7113,0.6919,0.6504
w02.oracleGeneral.bin.zst_122181000,99116.0,0.0974,0.0401,0.0443,0.0395,0.0381,0.0364,0.0478,0.0423,0.0455,0.0403,0.0339,0.0198,0.0436,0.0366,0.0697,0.04,0.0397,0.0448,0.0472,0.0547,0.0367,0.0408
w26.oracleGeneral.bin.zst_26532121,609112.0,0.3465,0.3041,0.3144,0.3109,0.3176,0.309,0.3016,0.3157,0.3304,0.305,0.2759,0.1863,0.3174,0.3084,0.3287,0.3008,0.3113,0.3284,0.5304,0.3205,0.3081,0.3085
w64.oracleGeneral.bin.zst_7458266,1287061.0,0.8711,0.8663,0.896,0.8663,0.8866,0.8684,0.8706,0.8925,0.8696,0.8709,0.8925,0.8628,0.8705,0.8911,0.8869,0.8676,0.8662,0.8709,0.8663,0.889,0.8663,0.8922
w39.oracleGeneral.bin.zst_17920022,121651.0,0.0784,0.0673,0.0666,0.067,0.059,0.0684,0.0622,0.0716,0.0795,0.0669,0.057,0.0463,0.0717,0.0667,0.0797,0.0656,0.0656,0.0662,0.1748,0.0718,0.0676,0.0648
