#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w88.oracleGeneral.bin.zst_4711053,775000000.0,0.363,0.3119,0.3029,0.3066,0.4527,0.4279,0.3028,0.3038,0.3377,0.3163,0.2984,0.2131,0.34,0.3006,0.3519,0.2942,0.2927,0.344,0.3641,0.4294,0.3027,0.2962
w85.oracleGeneral.bin.zst_4790048,2282000000.0,0.9612,0.9428,0.9424,0.9428,0.9227,0.9443,0.9604,0.8994,0.9629,0.9585,0.8911,0.8695,0.9607,0.8733,0.9655,0.9533,0.9427,0.9609,0.9433,0.928,0.9433,0.8807
w80.oracleGeneral.bin.zst_5256246,468000000.0,0.6174,0.5478,0.5739,0.5483,0.7315,0.6286,0.5781,0.5409,0.5842,0.5932,0.4829,0.3926,0.5827,0.5872,0.6379,0.5365,0.5338,0.5981,0.5539,0.7603,0.5448,0.5431
w65.oracleGeneral.bin.zst_9316229,5000000000.0,0.9889,0.98,0.9147,0.98,0.9364,0.9831,0.9864,0.9229,0.9882,0.9884,0.9037,0.8834,0.9883,0.8975,0.9884,0.9799,0.9749,0.9884,0.9812,0.9416,0.9812,0.9037
w31.oracleGeneral.bin.zst_21166982,261000000000.0,0.9716,0.9603,0.8136,0.9603,0.8576,0.9582,0.9695,0.8169,0.9651,0.9708,0.7552,0.6707,0.9702,0.7577,0.9169,0.965,0.9596,0.971,0.9609,0.8329,0.9609,0.7719
w46.oracleGeneral.bin.zst_11550125,124000000000.0,0.6681,0.6878,0.6655,0.6873,0.7472,0.6793,0.6511,0.7005,0.6478,0.6394,0.7561,0.5779,0.644,0.7158,0.6828,0.6523,0.6806,0.6448,0.6983,0.7085,0.6983,0.708
w76.oracleGeneral.bin.zst_6076272,841000000.0,0.3883,0.318,0.3148,0.3197,0.4519,0.4359,0.3157,0.3121,0.3714,0.3237,0.3092,0.2232,0.3374,0.3078,0.4736,0.308,0.3048,0.338,0.3877,0.396,0.3214,0.3093
w100.oracleGeneral.bin.zst_3645877,5000000000.0,0.8769,0.8217,0.8174,0.8221,0.8701,0.8579,0.8504,0.8335,0.8628,0.8543,0.7967,0.6853,0.8613,0.7974,0.8358,0.834,0.8169,0.867,0.8254,0.8589,0.8254,0.7987
w14.oracleGeneral.bin.zst_34816425,70000000000.0,0.8201,0.7905,0.7893,0.7919,0.8151,0.7985,0.8055,0.7809,0.8138,0.7993,0.7762,0.6675,0.8145,0.7743,0.8154,0.7879,0.7752,0.8164,0.8211,0.7921,0.7848,0.7725
w62.oracleGeneral.bin.zst_9497745,3000000000.0,0.7907,0.6706,0.6073,0.6706,0.7128,0.6773,0.621,0.6757,0.7518,0.6905,0.6208,0.5589,0.737,0.5829,0.722,0.6151,0.6076,0.755,0.6924,0.6867,0.6924,0.585
w33.oracleGeneral.bin.zst_19868346,867000000.0,0.2509,0.2225,0.2242,0.2247,0.2699,0.3273,0.1893,0.2445,0.2544,0.2323,0.1819,0.1246,0.241,0.219,0.3062,0.19,0.2031,0.2328,0.3446,0.3216,0.2148,0.2063
w67.oracleGeneral.bin.zst_9028144,591000000.0,0.4213,0.3757,0.3475,0.3675,0.4316,0.4058,0.3525,0.3718,0.4079,0.3791,0.3439,0.2387,0.4055,0.3523,0.4084,0.3423,0.343,0.4128,0.3575,0.416,0.3494,0.3473
w49.oracleGeneral.bin.zst_11151558,7000000000.0,0.7053,0.6908,0.6647,0.6846,0.7808,0.7201,0.6471,0.6679,0.7257,0.7215,0.6625,0.5173,0.7196,0.6785,0.7319,0.6278,0.6471,0.7174,0.6801,0.7077,0.6546,0.652
w55.oracleGeneral.bin.zst_8855434,3000000000.0,0.6892,0.6758,0.6769,0.6758,0.7541,0.7236,0.686,0.6885,0.6827,0.684,0.6952,0.6264,0.6846,0.6932,0.7012,0.6774,0.6768,0.6838,0.6769,0.7021,0.6769,0.6829
w73.oracleGeneral.bin.zst_6368815,690000000.0,0.4754,0.4617,0.4441,0.4575,0.5083,0.4541,0.427,0.4249,0.4681,0.4549,0.4063,0.3103,0.4628,0.4423,0.4829,0.4246,0.4311,0.4649,0.4485,0.5221,0.4528,0.4442
w89.oracleGeneral.bin.zst_3625918,2233000000.0,0.4782,0.4212,0.4221,0.4197,0.4638,0.4426,0.443,0.4463,0.4572,0.4384,0.4613,0.3576,0.4492,0.4315,0.4806,0.4276,0.4197,0.4585,0.4278,0.4473,0.4278,0.4257
w09.oracleGeneral.bin.zst_49622929,105000000000.0,0.741,0.7182,0.7164,0.7199,0.7552,0.7262,0.7287,0.7005,0.7321,0.7038,0.6537,0.5873,0.7352,0.6731,0.7292,0.7077,0.6977,0.738,0.7761,0.7242,0.7088,0.6846
w45.oracleGeneral.bin.zst_15064629,276000000.0,0.156,0.1375,0.1369,0.1398,0.1976,0.1664,0.1365,0.1463,0.1643,0.1548,0.1292,0.081,0.1624,0.135,0.1676,0.1332,0.1364,0.1542,0.1664,0.2113,0.1533,0.1347
w90.oracleGeneral.bin.zst_4493515,1666000000.0,0.5788,0.5608,0.5496,0.5606,0.6052,0.583,0.5562,0.7784,0.5581,0.5593,0.6338,0.3898,0.5589,0.5538,0.5447,0.552,0.5525,0.561,0.8393,0.8823,0.8382,0.5503
w36.oracleGeneral.bin.zst_18915625,795000000.0,0.2552,0.2326,0.2306,0.2327,0.257,0.3228,0.2018,0.2431,0.2592,0.2385,0.1897,0.1284,0.2445,0.2225,0.3086,0.1969,0.2103,0.2383,0.3285,0.3178,0.2204,0.2068
w05.oracleGeneral.bin.zst_73034546,143000000000.0,0.9019,0.8862,0.8132,0.8849,0.8629,0.8765,0.879,0.834,0.9035,0.8991,0.8262,0.6478,0.903,0.8268,0.8708,0.8515,0.8394,0.9011,0.8582,0.8738,0.8582,0.8159
w43.oracleGeneral.bin.zst_15617420,11000000000.0,0.7706,0.6707,0.6251,0.6707,0.6986,0.6826,0.689,0.6613,0.7198,0.7374,0.6667,0.4635,0.7381,0.6669,0.6772,0.6731,0.6725,0.7453,0.6874,0.6722,0.6874,0.6648
w04.oracleGeneral.bin.zst_77764582,166000000000.0,0.6716,0.6662,0.6504,0.658,0.6671,0.6525,0.6578,0.637,0.6606,0.6418,0.6198,0.5328,0.6641,0.638,0.6609,0.6341,0.6306,0.667,0.7469,0.6358,0.6393,0.6313
w07.oracleGeneral.bin.zst_67427405,13000000000.0,0.6133,0.5176,0.523,0.516,0.5681,0.5344,0.529,0.5177,0.5646,0.5694,0.4874,0.3991,0.5695,0.509,0.5627,0.5043,0.5026,0.583,0.4898,0.5426,0.4892,0.5053
w92.oracleGeneral.bin.zst_4284658,2224000000.0,0.9572,0.9448,0.9046,0.9448,0.9156,0.938,0.9569,0.9028,0.9571,0.9569,0.9003,0.8742,0.9571,0.8853,0.9578,0.9532,0.9448,0.9571,0.945,0.9143,0.945,0.8887
w74.oracleGeneral.bin.zst_6343762,452000000.0,0.4585,0.422,0.3815,0.4165,0.4705,0.4562,0.379,0.4004,0.4461,0.4278,0.3686,0.257,0.443,0.379,0.4497,0.3694,0.3758,0.4528,0.4167,0.4642,0.4076,0.3866
w11.oracleGeneral.bin.zst_46173369,7000000000.0,0.5562,0.5371,0.4854,0.5291,0.7192,0.6003,0.505,0.4958,0.5318,0.5369,0.5729,0.2741,0.5302,0.5045,0.528,0.505,0.5038,0.5483,0.8109,0.6917,0.6298,0.5025
w29.oracleGeneral.bin.zst_19087784,4000000000.0,0.4774,0.4692,0.4413,0.4724,0.5353,0.452,0.4673,0.4511,0.4601,0.452,0.521,0.354,0.4507,0.456,0.4589,0.4571,0.4444,0.46,0.7932,0.5848,0.4785,0.4412
w69.oracleGeneral.bin.zst_7874006,3224000000.0,0.5203,0.4304,0.4317,0.4201,0.5636,0.4637,0.4152,0.4198,0.4614,0.4551,0.433,0.311,0.4559,0.4306,0.5016,0.4072,0.4096,0.4699,0.4338,0.5322,0.4156,0.4146
w95.oracleGeneral.bin.zst_3937240,844000000.0,0.433,0.3442,0.3442,0.3397,0.4723,0.431,0.3489,0.3577,0.3973,0.3768,0.3491,0.2618,0.401,0.3509,0.4173,0.3441,0.3408,0.414,0.351,0.4616,0.3476,0.3449
w82.oracleGeneral.bin.zst_4926610,252000000.0,0.6694,0.5761,0.5683,0.5757,0.6239,0.6111,0.6189,0.5642,0.6616,0.6321,0.5295,0.4619,0.6685,0.5334,0.6212,0.5857,0.5789,0.6686,0.6187,0.609,0.61,0.5349
