#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w08.oracleGeneral.bin.zst,216895848448,0.7526,0.5391,0.7379,0.6964,0.8487,0.8592,0.8158,0.8213,0.7787,0.8571,0.7804,0.8128,0.7177,0.8578,0.8575,0.7455,0.7445,0.7804,0.7997,0.6676,0.7285
w70.oracleGeneral.bin.zst,6442450944,0.2477,0.1987,0.248,0.2429,0.2441,0.259,0.246,0.2267,0.2474,0.2422,0.3053,0.2791,0.2418,0.2451,0.2389,0.2298,0.2294,0.2449,0.242,0.2666,0.2278
w14.oracleGeneral.bin.zst,151397597184,0.755,0.5595,0.7555,0.7566,0.7999,0.8069,0.7613,0.7809,0.7458,0.7938,0.7627,0.7642,0.685,0.803,0.7851,0.7513,0.7676,0.7627,0.7897,0.7286,0.7018
w02.oracleGeneral.bin.zst,3221225472,0.0109,0.0078,0.0106,0.0098,0.0133,0.0444,0.0266,0.0112,0.1215,0.0135,0.012,0.015,0.0101,0.014,0.0122,0.0113,0.0113,0.0097,0.0168,0.0113,0.011
w98.oracleGeneral.bin.zst,9663676416,0.7984,0.6449,0.7991,0.7729,0.8147,0.8427,0.793,0.792,0.803,0.8073,0.8005,0.8067,0.7519,0.8258,0.8251,0.7779,0.7875,0.8005,0.807,0.7509,0.7588
w40.oracleGeneral.bin.zst,1073741824,0.0925,0.0575,0.0952,0.0939,0.0973,0.1208,0.1532,0.1621,0.1713,0.0993,0.1296,0.1192,0.0864,0.0965,0.0951,0.0845,0.0831,0.0858,0.0847,0.0735,0.0836
w106.oracleGeneral.bin.zst,943718400,0.172,0.1444,0.171,0.1768,0.1808,0.195,0.2017,0.1971,0.2256,0.1877,0.1936,0.2595,0.1723,0.1815,0.1747,0.1674,0.165,0.171,0.1889,0.1601,0.1659
w38.oracleGeneral.bin.zst,5368709120,0.4631,0.3447,0.4634,0.463,0.551,0.5767,0.5239,0.5174,0.4736,0.5404,0.4878,0.5397,0.4259,0.559,0.5376,0.4587,0.4775,0.4791,0.5191,0.4483,0.4376
w56.oracleGeneral.bin.zst,2147483648,0.2682,0.1715,0.27,0.2657,0.2856,0.319,0.3064,0.3012,0.3084,0.2874,0.2888,0.3382,0.2695,0.2916,0.2809,0.2694,0.2703,0.2817,0.2813,0.2772,0.2723
w64.oracleGeneral.bin.zst,84825604096,0.9101,0.9077,0.9101,0.9389,0.9133,0.9137,0.928,0.9112,0.9291,0.9128,0.9101,0.9324,0.9366,0.9136,0.9136,0.9101,0.9112,0.9101,0.9135,0.9448,0.938
